1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
717.49,707.64,706.44,737.34,745.09,1540.13,1599.88,1575.38,735.64,736.24,736.44,724.44,698.64,690.54,670.24,672.74,659.04,1262.68,1785.88,2237.78,2178.08,773.74,725.29,682.14
651.39,636.34,615.34,623.74,656.19,1375.33,1608.88,1717.48,880.74,863.34,878.84,889.84,883.34,885.64,904.54,890.94,837.94,1703.48,2216.28,2374.08,2304.18,835.04,802.89,772.94
754.89,744.44,729.04,724.74,769.39,1627.63,1763.18,1827.68,933.04,848.64,897.84,911.04,908.14,1000.44,903.94,877.84,854.94,1888.78,2157.98,2095.28,2245.88,824.44,828.49,803.94
751.79,746.94,723.24,732.94,727.89,1511.43,1628.18,1777.18,904.24,914.44,893.74,902.14,822.94,888.64,903.84,852.14,784.14,1017.58,2035.72,1386.08,1036.88,826.94,771.89,767.84
722.89,596.24,595.24,595.24,635.19,1409.83,1556.18,1550.68,728.74,778.04,722.84,780.74,123.74,866.44,383.54,862.14,702.04,1708.98,2111.48,2385.98,2113.38,810.44,797.39,764.24
736.09,709.14,730.54,707.44,732.79,1504.23,1581.98,1724.08,872.74,858.54,897.44,897.34,879.64,912.64,891.54,920.14,854.94,1909.68,2166.58,2279.68,2198.57,657.54,767.19,658.37
711.69,716.84,717.84,664.78,692.59,1505.13,1744.68,1825.38,924.54,927.64,841.94,864.44,881.34,913.64,914.5,900.2,874.04,1795.28,2179.88,2281.08,2255.88,844.14,122.69,754.74
731.09,727.64,735.24,738.84,770.49,1610.93,1691.08,1744.28,862.84,843.64,838.34,844.94,832.64,844.94,837.34,821.1,787.94,1524.58,2162.98,2100.38,2273.58,856.94,841.99,815.04
784.39,760.24,728.64,737.74,758.79,1585.33,1711.88,1890.98,946.33,895.37,945.24,937.54,922.14,907.54,941.54,915.39,904.94,1901.78,2316.34,2466.04,2330.88,923.64,856.59,845.54
798.89,780.24,779.24,781.74,824.39,1004.13,1661.93,1846.48,970.24,961.04,936.74,934.45,935.14,899.34,915.34,933.24,910.74,1690.08,2242.38,2471.78,2222.48,1045.63,860.69,854.34
804.59,788.74,787.04,796.24,787.79,1634.33,1852.48,1954.48,947.64,917.04,947.34,993.14,952.14,958.54,926.44,955.44,922.14,1706.38,2335.48,2506.38,2399.98,1113.14,855.38,858.24
831.69,809.34,795.83,778.34,792.79,1728.03,1909.58,2030.38,959.34,929.14,919.74,936.44,957.14,947.94,941.14,942.34,963.04,2180.18,2414.08,2209.18,2356.78,1068.64,846.39,834.94
828.19,783.84,776.24,788.54,828.19,1745.03,1944.08,2058.28,995.04,915.84,928.04,847.04,882.54,912.84,918.24,935.94,889.34,2025.78,2214.28,2322.38,2260.88,828.24,813.99,793.64
777.79,755.54,744.94,751.44,793.29,1679.23,1841.68,1918.18,936.53,965.04,907.94,888.84,911.14,915.74,837.14,900.44,903.54,1817.78,2181.42,2381.48,2271.08,882.24,837.89,816.84
781.29,749.34,750.44,780.84,793.49,1650.83,1649.68,1765.98,900.54,811.74,805.34,750.44,734.34,781.74,750.14,751.64,772.04,1648.18,1859.28,2329.48,2279.08,763.14,753.99,737.34
690.29,662.64,627.94,636.44,121.89,1239.23,1482.08,1562.48,845.24,822.84,863.44,864.64,848.14,863.44,877.44,837.34,800.44,1785.18,2101.88,2194.08,2221.88,713.74,692.89,587.34
550.79,685.64,635.54,692.44,671.49,1444.63,1546.58,1551.18,796.34,660.84,714.44,710.64,762.64,689.34,833.54,855.84,807.14,1511.08,2157.37,2199.48,2085.68,718.14,713.89,680.14
666.89,670.64,649.64,637.94,676.69,1394.03,1481.88,1484.28,705.34,717.94,731.14,734.64,711.84,723.64,729.84,721.94,716.14,1369.18,1874.48,2305.28,2031.78,769.44,724.49,679.14
656.69,626.44,605.94,607.84,649.09,1382.43,1613.28,1744.78,881.54,923.54,909.84,886.64,876.53,886.04,883.44,894.94,865.64,1732.48,2076.08,2312.28,2268.78,963.24,744.29,703.44
616.79,597.34,570.54,566.44,569.19,1211.63,1437.48,945.18,752.24,796.34,823.34,808.54,818.24,829.04,859.14,842.94,866.34,1836.58,2109.68,2313.38,1789.08,820.94,800.79,739.34
747.59,711.04,687.34,696.04,718.99,1464.23,1577.98,1705.28,777.64,866.04,881.14,865.84,840.54,862.04,851.24,846.14,824.04,1666.38,2086.88,2358.78,1987.48,851.44,795.09,758.24
642.29,627.44,624.14,617.64,631.59,1335.33,1435.38,1518.88,738.84,733.24,744.24,741.44,735.24,731.34,733.64,718.34,681.74,1376.48,1773.48,2265.18,1839.38,782.54,731.49,715.64
751.69,742.74,714.14,714.84,739.89,1527.73,1701.08,2776.48,840.64,872.54,910.24,730.94,731.34,779.44,929.24,958.84,926.24,1832.38,2149.98,2343.98,2048.58,863.74,816.39,726.54
778.39,768.24,764.84,750.54,773.59,1582.73,1714.98,1774.08,867.34,907.44,925.44,938.73,919.54,903.54,918.94,911.04,922.04,2140.68,2048.78,1572.48,2139.08,849.44,862.09,822.84
706.89,720.74,723.34,727.44,726.29,1516.13,1658.88,1655.68,840.04,884.64,889.74,903.64,897.64,839.09,895.24,885.84,857.84,1681.28,2043.78,2329.88,2157.68,869.14,795.39,776.74
757.09,715.34,724.84,616.74,570.59,1255.13,1273.18,1640.58,860.94,925.84,942.54,838.84,856.74,932.14,962.64,962.44,902.14,1830.78,1889.48,2372.28,2333.48,915.04,849.99,800.94
780.19,767.14,761.54,765.54,776.89,1624.03,1790.28,1907.18,909.54,951.54,930.24,920.74,925.14,916.54,890.34,905.44,862.04,1840.88,1940.68,2310.38,2126.08,944.54,921.29,879.54
795.59,771.14,751.24,736.94,763.79,1614.73,1709.38,1774.98,875.94,918.84,824.24,800,791.14,912.84,914.44,911.54,863.64,1659.88,345.18,1357.48,2038.58,924.24,860.99,845.64
811.49,787.64,769.84,751.94,785.19,1541.73,1589.78,1730.07,724.54,735.74,733.74,738.74,707.34,698.14,646.34,662.14,674.54,1427.88,1414.38,2130.98,2114.78,928.04,843.89,823.54
812.99,807.34,810.14,813.14,829.49,1698.33,1758.88,1860.88,929.14,904.74,919.24,917.84,907.84,933.24,915.64,917.94,891.74,1780.34,1806.28,2141.08,2017.48,795.54,711.89,712.14
129.29,0,402.24,127.64,293.99,450.13,607.08,1304.08,732.64,738.94,807.24,801.04,829.74,689.24,699.04,721.04,699.44,1388.08,1554.78,1827.98,1713.8,460.4,698.99,667.74
654.89,654.84,635.04,650.84,683.29,1409.03,1534.78,1697.28,884.54,879.64,877.04,861.54,900.04,882.24,891.54,929.24,860.44,1754.08,1784.58,2076.08,1996.58,901.04,847.69,816.04
757.79,726.14,688.84,700.94,716.69,1566.37,1654.48,1714.98,787.06,852.74,844.64,857.04,894.64,880.24,887.94,878.24,907.04,1825.08,1882.48,2139.98,2165.58,970.84,907.39,863.64
799.99,781.24,746.04,723.04,729.89,1491.43,1631.58,1773.28,640.34,862.84,898.44,891.04,901.84,906.24,913.54,903.54,893.64,1796.08,1850.98,2180.78,2055.58,931.04,853.59,824.74
814.59,806,772.94,759.94,788.49,1665.43,1804.68,1879.98,939.94,955.54,946.64,932.34,962.84,967.24,967.94,902.44,922.64,1764.38,1910.78,2225.08,2152.78,979.64,915.36,887.04
822.29,791.34,767.84,765.94,733.49,1534.23,1590.98,1676.08,827.04,836.04,834.24,818.34,823.84,821.74,840.64,849.24,808.94,1612.88,1754.88,1981.88,1894.18,872.54,859.49,818.94
766.09,700.54,679.54,679.24,708.09,1448.73,1605.08,1732.18,908.14,943.04,970.44,966.44,960.94,958.94,991.64,989.64,937.44,1856.28,1941.68,2112.71,2032.94,971.74,924.79,861.24
